ASV ID,taxonomy
ASV1573,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__Fungi_sp
ASV1074,d__Eukaryota;k__Fungi;p__Basidiomycota;c__unclassified_p__Basidiomycota;o__unclassified_p__Basidiomycota;f__unclassified_p__Basidiomycota;g__unclassified_p__Basidiomycota;s__Basidiomycota_sp
ASV2287,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Agaricostilbaceae;g__Sterigmatomyces;s__unclassified_g__Sterigmatomyces
ASV1166,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__unclassified_f__Ganodermataceae;s__unclassified_f__Ganodermataceae
ASV1311,d__Eukaryota;k__Fungi;p__Basidiomycota;c__unclassified_p__Basidiomycota;o__unclassified_p__Basidiomycota;f__unclassified_p__Basidiomycota;g__unclassified_p__Basidiomycota;s__Basidiomycota_sp
ASV65,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__unclassified_k__Fungi
ASV87,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Agrocybe;s__Agrocybe_pediades
ASV1106,d__Eukaryota;k__Fungi;p__unclassified_k__Fungi;c__unclassified_k__Fungi;o__unclassified_k__Fungi;f__unclassified_k__Fungi;g__unclassified_k__Fungi;s__unclassified_k__Fungi
ASV2340,d__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Ramularia;s__unclassified_g__Ramularia
ASV1640,d__Eukaryota;k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__Coniochaeta_ligniaria
ASV1957,d__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__Suillus_granulatus
ASV2567,d__Eukaryota;k__Fungi;p__Basidiomycota;c__unclassified_p__Basidiomycota;o__unclassified_p__Basidiomycota;f__unclassified_p__Basidiomycota;g__unclassified_p__Basidiomycota;s__Basidiomycota_sp
ASV515,d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Diutina;s__Diutina_catenulata
